condition,roc_auc_drop_vs_original,eer_change_vs_original,real_fpr_change_vs_original,fake_miss_change_vs_original
original,0.0,0.0,0.0,0.0
mp3_128,0.08182636077372907,0.07885739991003149,0.3111111111111111,-0.014170040485829958
mp3_64,0.15159694107062527,0.18502024291497976,0.1111111111111111,0.2753036437246964
