condition,level,roc_auc,pr_auc,eer,balanced_accuracy,macro_f1,real_fpr,fake_miss_rate,threshold_used,tn,fp,fn,tp
original,segment,0.9520296914868939,0.9948056352773063,0.13486430062630478,0.87907678032939,0.779466187040615,0.15555555555555556,0.08629088378566457,0.04316171258687973,114,21,124,1313
original,track,0.9772379667116509,0.997756168921893,0.10416104363472783,0.9110661268556006,0.8535212361208169,0.13333333333333333,0.044534412955465584,0.09354320168495178,39,6,22,472
mp3_128,segment,0.8453619938658213,0.9818541238526832,0.23647258949972938,0.6870795639062862,0.6718038262982083,0.5555555555555556,0.07028531663187196,0.04316171258687973,60,75,101,1336
mp3_128,track,0.8954116059379218,0.987109884539043,0.18301844354475932,0.76259559154296,0.7764942835140098,0.4444444444444444,0.030364372469635626,0.09354320168495178,25,20,15,479
mp3_64,segment,0.7585762519652568,0.9704268678378652,0.31687930101291273,0.6794479239155649,0.49738249877118224,0.24444444444444444,0.3966597077244259,0.04316171258687973,102,33,570,867
mp3_64,track,0.8256410256410256,0.9781941649896904,0.2891812865497076,0.7178587494376968,0.5429842913549773,0.24444444444444444,0.31983805668016196,0.09354320168495178,34,11,158,336
