model,level,split,samples,eer,eer_threshold_on_this_split,fixed_validation_threshold,roc_auc,pr_auc_fake,macro_f1,balanced_accuracy,real_fpr,fake_miss_rate,tn,fp,fn,tp
Logistic Regression,segment,validation,1490,0.18410550772174386,0.42279786777402384,0.42279786777402384,0.8978925789257892,0.9876440409954466,0.6682383281501943,0.8158944922782561,0.18518518518518517,0.18302583025830257,110,25,248,1107
Logistic Regression,track,validation,527,0.08490087597971419,0.8496518839184034,0.8496518839184034,0.9579529737206086,0.9938713103708404,0.8048568353067815,0.9150991240202858,0.08888888888888889,0.08091286307053942,41,4,39,443
Logistic Regression,segment,test,1374,0.15764529351485873,0.5973723075665753,0.42279786777402384,0.9178987947103889,0.9896700617983063,0.7102240987133073,0.8294539598887425,0.19696969696969696,0.14412238325281804,106,26,179,1063
Logistic Regression,track,test,487,0.09737328134619332,1.44611114269344,0.8496518839184034,0.9767083931869485,0.9975805466654939,0.8452189161049921,0.9058588138723579,0.13636363636363635,0.05191873589164785,38,6,23,420
RBF-SVM,segment,validation,1490,0.1707803744704114,0.8224736880731902,0.8224736880731902,0.9110892442257754,0.9883394552466264,0.6776001967051881,0.8292196255295886,0.16296296296296298,0.17859778597785977,113,22,242,1113
RBF-SVM,track,validation,527,0.08801290917473492,0.8334321212857376,0.8334321212857376,0.9568925772245274,0.9938623836150082,0.7954744870410367,0.9119870908252651,0.08888888888888889,0.08713692946058091,41,4,42,440
RBF-SVM,segment,test,1374,0.17488288683940859,0.8880559789893377,0.8224736880731902,0.9068401405357926,0.9876456883947754,0.7063492947760249,0.8304238032498902,0.1893939393939394,0.1497584541062802,107,25,186,1056
RBF-SVM,track,test,487,0.09285860865996308,0.9415577317292904,0.8334321212857376,0.9584444900471989,0.9950290752010785,0.8062334217506631,0.8570182639031397,0.22727272727272727,0.05869074492099323,34,10,26,417
