condition,model,holdout_generator,eer_seen,eer_unseen,fake_miss_rate_seen,fake_miss_rate_unseen,real_fpr_seen,real_fpr_unseen,roc_auc_seen,roc_auc_unseen,eer_gap,roc_auc_change
Common MP3 64kbps,Logistic Regression,musicgen,0.09196617336152223,0.206923890063425,0.09302325581395349,0.2558139534883721,0.13636363636363635,0.18181818181818182,0.9693446088794925,0.861522198731501,0.11495771670190276,-0.10782241014799143
Common MP3 64kbps,Logistic Regression,suno,0.08295454545454543,0.12954545454545452,0.025,0.075,0.13636363636363635,0.1590909090909091,0.9892045454545455,0.9789772727272726,0.046590909090909086,-0.010227272727272863
Common MP3 64kbps,RBF-SVM,musicgen,0.1839323467230444,0.25290697674418605,0.16279069767441862,0.5116279069767442,0.22727272727272727,0.1590909090909091,0.9175475687103594,0.8187103594080338,0.06897463002114165,-0.09883720930232553
Common MP3 64kbps,RBF-SVM,suno,0.04772727272727275,0.08409090909090908,0.025,0.025,0.22727272727272727,0.18181818181818182,0.9801136363636364,0.9715909090909091,0.03636363636363633,-0.008522727272727293
Original encoding,Logistic Regression,musicgen,0.09196617336152223,0.32188160676532773,0.09302325581395349,0.6976744186046512,0.09090909090909091,0.13636363636363635,0.9603594080338266,0.686046511627907,0.2299154334038055,-0.2743128964059196
Original encoding,Logistic Regression,suno,0.09545454545454544,0.08409090909090908,0.1,0.1,0.09090909090909091,0.06818181818181818,0.9710227272727272,0.9579545454545454,-0.011363636363636367,-0.013068181818181812
Original encoding,RBF-SVM,musicgen,0.08060253699788586,0.44846723044397463,0.023255813953488372,0.8604651162790697,0.13636363636363635,0.18181818181818182,0.9582452431289641,0.5581395348837209,0.36786469344608874,-0.40010570824524316
Original encoding,RBF-SVM,suno,0.07159090909090907,0.05909090909090911,0.0,0.0,0.13636363636363635,0.13636363636363635,0.9852272727272727,0.975,-0.012499999999999956,-0.010227272727272751
