model,level,split,samples,eer,eer_threshold_on_this_split,fixed_validation_threshold,roc_auc,pr_auc_fake,macro_f1,balanced_accuracy,real_fpr,fake_miss_rate,tn,fp,fn,tp
Logistic Regression,segment,validation,1490,0.14048107147738143,0.20847040717408616,0.20847040717408616,0.9097772311056445,0.9877723867639215,0.7218806125574819,0.8595189285226186,0.14074074074074075,0.14022140221402213,116,19,190,1165
Logistic Regression,track,validation,527,0.08905025357307517,0.6057657930334002,0.6057657930334002,0.9526509912402029,0.9926897845173446,0.7924240519589356,0.9109497464269248,0.08888888888888889,0.08921161825726141,41,4,43,439
Logistic Regression,segment,test,1374,0.14644634753330404,0.5805674695969372,0.20847040717408616,0.9281522959059191,0.991151427070253,0.7401987001831413,0.8516871614697702,0.17424242424242425,0.12238325281803543,109,23,152,1090
Logistic Regression,track,test,487,0.09511594500307817,1.0735128725174332,0.6057657930334002,0.9737328134619331,0.9971354408596206,0.8311097511219909,0.9206854093987277,0.09090909090909091,0.06772009029345373,40,4,30,413
RBF-SVM,segment,validation,1490,0.13603936039360393,0.7321075444788975,0.7321075444788975,0.9452179855131884,0.9933472840730808,0.7253579098067287,0.8639606396063961,0.13333333333333333,0.13874538745387455,117,18,188,1167
RBF-SVM,track,validation,527,0.06756569847856153,0.7517020472459041,0.7517020472459041,0.978377132319041,0.9975074003366071,0.8307280513918629,0.9324343015214385,0.06666666666666667,0.06846473029045644,42,3,33,449
RBF-SVM,segment,test,1374,0.17488288683940859,0.8716571320479373,0.7321075444788975,0.9275728297467428,0.9912971632583168,0.7326774791015163,0.8339554969989753,0.21212121212121213,0.11996779388083736,104,28,149,1093
RBF-SVM,track,test,487,0.07020829058075109,0.8665660383174054,0.7517020472459041,0.972142417402011,0.9967263871181595,0.8662700228832951,0.9115021547301457,0.13636363636363635,0.040632054176072234,38,6,18,425
