model,condition,level,split,samples,eer,eer_threshold_on_this_split,fixed_validation_threshold,roc_auc,pr_auc_fake,macro_f1,balanced_accuracy,real_fpr,fake_miss_rate,tn,fp,fn,tp
Log-Mel CNN,Common MP3 64kbps,segment,validation,1490,0.15489954899548997,0.458931028842926,0.458931028842926,0.9286210195435288,0.9921692098543105,0.7033095657774899,0.84510045100451,0.15555555555555556,0.15424354243542435,114,21,209,1146
Log-Mel CNN,Common MP3 64kbps,track,validation,527,0.06860304287690178,0.6775086720784506,0.6775086720784506,0.974458275703089,0.9975386279404596,0.827278927834321,0.9313969571230982,0.06666666666666667,0.07053941908713693,42,3,34,448
Log-Mel CNN,Common MP3 64kbps,segment,test,1374,0.17109500805152977,0.9950043559074402,0.458931028842926,0.9186185526765236,0.9903472185490522,0.7287360759521438,0.8293624652320304,0.2196969696969697,0.1215780998389694,103,29,151,1091
Log-Mel CNN,Common MP3 64kbps,track,test,487,0.10986558588138723,1.1082530319690704,0.6775086720784506,0.9690129283808742,0.9967612414192514,0.808887946120804,0.8763595321157398,0.18181818181818182,0.0654627539503386,36,8,29,414
