model,eer,roc_auc,macro_f1,real_fpr,fake_miss_rate
Logistic Regression,0.0973732813461933,0.9767083931869484,0.8452189161049921,0.1363636363636363,0.0519187358916478
RBF-SVM,0.092858608659963,0.9584444900471988,0.8062334217506631,0.2272727272727272,0.0586907449209932
Log-Mel CNN,0.10986558588138723,0.9690129283808742,0.808887946120804,0.18181818181818182,0.0654627539503386
