epoch,train_loss,val_segment_roc_auc,val_segment_eer,val_track_eer,elapsed_sec
1,0.10180710080823376,0.7634677141256088,0.31983059614638565,0.24611801242236025,82.11335873603821
2,0.09394488046171677,0.8012252683305315,0.2809765507133928,0.15822040278562016,80.33097195625305
3,0.08789470824540663,0.7534538126643389,0.3341631104788999,0.2688688123470732,79.62104201316833
4,0.080094407920398,0.8514429501271606,0.22151278072330705,0.20889798607189913,79.91819739341736
5,0.07153954448343366,0.8767673175567912,0.2032684598474072,0.1323640127987954,78.94334387779236
6,0.07044139591589606,0.7958155523944997,0.2764774343721712,0.2957603990212686,79.06729292869568
7,0.06247090882146754,0.9119412474675632,0.18751347040820723,0.1240824392998306,78.85486125946045
8,0.05455052172298606,0.9297706797706798,0.13539376697271432,0.08996800301148127,78.60395336151123
9,0.050822433566018774,0.9290378895642054,0.16027091684986422,0.10754281949934125,79.17805600166321
10,0.04935525102535236,0.8875328677960257,0.19734686839949997,0.15200922266139655,79.20320200920105
11,0.04497362255758161,0.9415384283805337,0.13717186085607136,0.11375399962356486,78.55092477798462
12,0.04063428511774376,0.9459621104357947,0.1389499547394284,0.07961603613777528,78.46489214897156
13,0.03951798029577067,0.9044085951980689,0.16962476830897885,0.16443158290984378,78.50731921195984
14,0.0373232109552094,0.9501594896331738,0.09760657786973574,0.07446357989836253,78.76016306877136
15,0.035835182685252626,0.9601814733393681,0.10423940687098582,0.09514398644833426,78.4787950515747
16,0.030316459470313164,0.9494536402431141,0.11193909220225012,0.09100319969885189,78.42370200157166
17,0.03085842781724389,0.9542760463813096,0.12141687141687141,0.11789478637304723,78.32189416885376
18,0.030128867120925967,0.9632311737574897,0.08990689253847149,0.04550159984942594,78.48322772979736
19,0.02548672332375861,0.9614423035475667,0.11300594853226431,0.04757199322416713,78.60289525985718
20,0.02560807300138819,0.9528966765808872,0.11478404241562135,0.0734283832109919,78.5910472869873
