holdout_generator,model,n_real,n_fake,roc_auc,eer,balanced_accuracy,macro_f1,real_fpr,fake_miss_rate
musicgen,LogMelCNN,45,45,0.8681481481481481,0.2666666666666667,0.7333333333333334,0.7285067873303167,0.13333333333333333,0.4
musicgen,RBF-SVM,45,45,0.6123456790123457,0.4,0.5222222222222223,0.4668687146989943,0.1555555555555555,0.8
udio,LogMelCNN,45,48,0.8226851851851852,0.21458333333333332,0.7652777777777777,0.7631944444444445,0.17777777777777778,0.2916666666666667
udio,RBF-SVM,45,48,0.8541666666666667,0.2368055555555555,0.7361111111111112,0.7266313932980599,0.1111111111111111,0.4166666666666667
