holdout_generator,model,level,test_type,val_eer,best_epoch,n_total,n_real,n_fake,roc_auc,pr_auc,eer,threshold_used,balanced_accuracy,macro_f1,real_fpr,fake_miss_rate,tn,fp,fn,tp
musicgen,LogMelCNN,segment,unseen_generator,0.12860693861085404,15,270,135,135,0.8166255144032921,0.8214096528027324,0.27037037037037037,0.20449063181877136,0.7296296296296296,0.7272915946039433,0.17777777777777778,0.362962962962963,111,24,49,86
musicgen,LogMelCNN,track,unseen_generator,0.06363636363636363,15,90,45,45,0.8681481481481481,0.8675908038997637,0.2666666666666667,0.2816530466079712,0.7333333333333334,0.7285067873303167,0.13333333333333333,0.4,39,6,18,27
musicgen,LogMelCNN,segment,seen_generators,0.12860693861085404,15,1437,135,1302,0.9476418046310519,0.9939119983327959,0.13617511520737324,0.20449063181877136,0.8611879160266257,0.7643881062296647,0.17777777777777778,0.09984639016897082,111,24,130,1172
musicgen,LogMelCNN,track,seen_generators,0.06363636363636363,15,494,45,449,0.9775303142786439,0.9976328248130883,0.06785449146250927,0.2816530466079712,0.907720861172977,0.8480274115013737,0.13333333333333333,0.051224944320712694,39,6,23,426
udio,LogMelCNN,segment,unseen_generator,0.15680377467223744,7,279,135,144,0.7654320987654321,0.78119051769967,0.337037037037037,0.22124536335468292,0.7,0.6907478646410641,0.15555555555555556,0.4444444444444444,114,21,64,80
udio,LogMelCNN,track,unseen_generator,0.0832549634273772,7,93,45,48,0.8226851851851852,0.8287728380558291,0.21458333333333332,0.233149453997612,0.7652777777777777,0.7631944444444445,0.17777777777777778,0.2916666666666667,37,8,14,34
udio,LogMelCNN,segment,seen_generators,0.15680377467223744,7,1428,135,1293,0.9307668070235743,0.9918083684974293,0.1392025436108963,0.22124536335468292,0.8649909770559423,0.7527900899691976,0.15555555555555556,0.11446249033255994,114,21,148,1145
udio,LogMelCNN,track,seen_generators,0.0832549634273772,7,491,45,446,0.9672147483806676,0.9962850429663951,0.07471350274040855,0.233149453997612,0.8875685102142501,0.8427272827683709,0.17777777777777778,0.04708520179372197,37,8,21,425
