holdout_generator,model,level,test_type,val_eer,best_epoch,n_total,n_real,n_fake,roc_auc,pr_auc,eer,threshold_used,balanced_accuracy,macro_f1,real_fpr,fake_miss_rate,tn,fp,fn,tp
musicgen,LogMelCNN,track,unseen_generator,0.06363636363636363,15,90,45,45,0.8681481481481481,0.8675908038997637,0.2666666666666667,0.2816530466079712,0.7333333333333334,0.7285067873303167,0.13333333333333333,0.4,39,6,18,27
udio,LogMelCNN,track,unseen_generator,0.0832549634273772,7,93,45,48,0.8226851851851852,0.8287728380558291,0.21458333333333332,0.233149453997612,0.7652777777777777,0.7631944444444445,0.17777777777777778,0.2916666666666667,37,8,14,34
