holdout_generator,epoch,train_loss,val_segment_roc_auc,val_segment_eer,val_track_eer,elapsed_sec
musicgen,1,0.11348478071935832,0.7542713746707482,0.33385539023753585,0.24545454545454548,75.88461375236511
musicgen,2,0.10484157005320267,0.7625234332360409,0.32654362734628983,0.25113636363636366,69.76678514480591
musicgen,3,0.10491033767347673,0.7599843382928739,0.32497745663368216,0.23863636363636365,68.31707906723022
musicgen,4,0.10289328042370846,0.6778434303884577,0.3897362426140813,0.36363636363636365,69.18100786209106
musicgen,5,0.09997407241867531,0.799708122730832,0.28149842196435776,0.2272727272727273,68.45449304580688
musicgen,6,0.0949565316139901,0.8093187157400157,0.2641340974348022,0.22613636363636364,68.51085996627808
musicgen,7,0.09115931174016419,0.8204717496025248,0.27679990982653474,0.22272727272727272,68.95045018196106
musicgen,8,0.08607805929421178,0.8414726750670369,0.2718374030042002,0.20113636363636367,68.53376197814941
musicgen,9,0.08416067536742021,0.8461474573455778,0.22835836833487577,0.1988636363636364,68.52289605140686
musicgen,10,0.08134052859295525,0.824066823283738,0.28188996464250965,0.26704545454545453,68.30001401901245
musicgen,11,0.07680751910663071,0.8757385918701502,0.21987197740917397,0.18636363636363637,68.20253300666809
musicgen,12,0.07372608866251686,0.8768420303267602,0.21948043473102208,0.21136363636363636,68.14901685714722
musicgen,13,0.06295678037352466,0.904303409980779,0.17443522934908998,0.12159090909090908,68.18903088569641
musicgen,14,0.06017468176237882,0.9345115208466814,0.14362200707149808,0.12613636363636366,68.23458099365234
musicgen,15,0.060064118036470125,0.9460086376687786,0.12860693861085404,0.06363636363636363,68.29653596878052
musicgen,16,0.050019760440181124,0.9282290406017892,0.1651657530670843,0.12045454545454543,68.20350480079651
musicgen,17,0.04391578371901656,0.9508940224484469,0.11855437697254456,0.10909090909090907,68.22064208984375
musicgen,18,0.04161625746309157,0.942775444341615,0.15249994067535177,0.13295454545454544,68.197096824646
musicgen,19,0.04113199859294543,0.9094527894449587,0.18370470563109562,0.1693181818181818,68.33995199203491
