holdout_generator,epoch,train_loss,val_segment_roc_auc,val_segment_eer,val_track_eer,elapsed_sec
udio,1,0.11136166617145321,0.7797387504202082,0.2959047687653076,0.2228317659352142,70.04733109474182
udio,2,0.09449654615870336,0.752419199923162,0.32848893050953276,0.2971525600835946,69.17844915390015
udio,3,0.08578454250312996,0.8534853287230466,0.22774095951591988,0.21146812957157785,68.38196182250977
udio,4,0.081907993821203,0.8945276857321232,0.2044914277481631,0.12348484848484848,68.62578582763672
udio,5,0.06847188881269409,0.8873421216923594,0.17926091341305286,0.1782654127481714,68.55583095550537
udio,6,0.0651047116870912,0.883128031503626,0.21026028910339528,0.18631138975966563,68.40710878372192
udio,7,0.06460898535386209,0.9168887768333094,0.15680377467223744,0.0832549634273772,69.20185399055481
udio,8,0.05411532361157104,0.8949899149978389,0.1905765259568746,0.19997387669801464,68.52901196479797
udio,9,0.05602449601286045,0.9050088844066657,0.19176511549728667,0.1382967607105538,68.2758800983429
udio,10,0.049358178845172226,0.8964426355472315,0.2044914277481631,0.18847962382445144,68.30404376983643
udio,11,0.041188938881730024,0.9591617442251357,0.1208279306536042,0.11888714733542322,68.35723805427551
