model,level,split,samples,eer,eer_threshold_on_this_split,fixed_validation_threshold,roc_auc,pr_auc_fake,macro_f1,balanced_accuracy,real_fpr,fake_miss_rate,tn,fp,fn,tp
Metadata-only Logistic Regression,track,validation,527,0.09008759797141541,-0.48758440905551126,-0.48758440905551126,0.9915168280313509,0.9991896203573934,0.7894105894105894,0.9099124020285846,0.08888888888888889,0.0912863070539419,41,4,44,438
Metadata-only Logistic Regression,track,test,487,0.11332854504412065,-0.38546442911336776,-0.48758440905551126,0.9876872563102812,0.998755560158164,0.7975011880247109,0.8911861276421096,0.13636363636363635,0.08126410835214447,38,6,36,407
