condition,model,level,split,samples,eer,eer_threshold_on_this_split,fixed_validation_threshold,roc_auc,pr_auc_fake,macro_f1,balanced_accuracy,real_fpr,fake_miss_rate,tn,fp,fn,tp
Original encoding,Logistic Regression,segment,test,1374,0.146446347533304,0.5805674695969372,0.2084704071740861,0.9281522959059192,0.991151427070253,0.7401987001831413,0.8516871614697702,0.1742424242424242,0.1223832528180354,109,23,152,1090
Original encoding,Logistic Regression,track,test,487,0.0951159450030781,1.0735128725174332,0.6057657930334002,0.9737328134619332,0.9971354408596206,0.8311097511219909,0.9206854093987276,0.0909090909090909,0.0677200902934537,40,4,30,413
Original encoding,RBF-SVM,segment,test,1374,0.1748828868394085,0.8716571320479373,0.7321075444788975,0.9275728297467428,0.9912971632583168,0.7326774791015163,0.8339554969989753,0.2121212121212121,0.1199677938808373,104,28,149,1093
Original encoding,RBF-SVM,track,test,487,0.070208290580751,0.8665660383174054,0.7517020472459041,0.972142417402011,0.9967263871181596,0.8662700228832951,0.9115021547301456,0.1363636363636363,0.0406320541760722,38,6,18,425
Common MP3 64kbps,Logistic Regression,segment,test,1374,0.1576452935148587,0.5973723075665753,0.4227978677740238,0.9178987947103888,0.9896700617983064,0.7102240987133073,0.8294539598887425,0.1969696969696969,0.144122383252818,106,26,179,1063
Common MP3 64kbps,Logistic Regression,track,test,487,0.0973732813461933,1.44611114269344,0.8496518839184034,0.9767083931869484,0.997580546665494,0.8452189161049921,0.905858813872358,0.1363636363636363,0.0519187358916478,38,6,23,420
Common MP3 64kbps,RBF-SVM,segment,test,1374,0.1748828868394085,0.8880559789893377,0.8224736880731902,0.9068401405357926,0.9876456883947754,0.7063492947760249,0.8304238032498902,0.1893939393939394,0.1497584541062802,107,25,186,1056
Common MP3 64kbps,RBF-SVM,track,test,487,0.092858608659963,0.9415577317292904,0.8334321212857376,0.9584444900471988,0.9950290752010784,0.8062334217506631,0.8570182639031397,0.2272727272727272,0.0586907449209932,34,10,26,417
