holdout_generator,model,level,test_type,val_eer,n_total,n_real,n_fake,roc_auc,pr_auc,eer,threshold_used,balanced_accuracy,macro_f1,real_fpr,fake_miss_rate,tn,fp,fn,tp,in_domain_roc_auc,in_domain_eer,in_domain_balanced_accuracy,in_domain_macro_f1,in_domain_real_fpr,in_domain_fake_miss_rate,roc_auc_drop,eer_increase,fake_miss_increase
musicgen,RBF-SVM,track,unseen_generator,0.09431818181818184,90,45,45,0.6123456790123457,0.5885891956603841,0.4,0.8701743820784932,0.5222222222222223,0.4668687146989943,0.15555555555555556,0.8,38,7,36,9,0.9950617283950618,0.0555555555555555,0.9111111111111112,0.9107142857142856,0.1555555555555555,0.0222222222222222,0.3827160493827161,0.34444444444444455,0.7777777777777779
udio,RBF-SVM,track,unseen_generator,0.11543887147335424,93,45,48,0.8541666666666667,0.8804386693199412,0.23680555555555555,0.8890169324992475,0.7361111111111112,0.7266313932980599,0.1111111111111111,0.4166666666666667,40,5,20,28,0.9013888888888888,0.2041666666666667,0.7659722222222223,0.7627551020408163,0.1555555555555555,0.3125,0.047222222222222054,0.032638888888888856,0.10416666666666669
