holdout_generator,model,level,test_type,val_eer,best_epoch,n_total,n_real,n_fake,roc_auc,pr_auc,eer,threshold_used,balanced_accuracy,macro_f1,real_fpr,fake_miss_rate,tn,fp,fn,tp,in_domain_roc_auc,in_domain_eer,in_domain_balanced_accuracy,in_domain_macro_f1,in_domain_real_fpr,in_domain_fake_miss_rate,roc_auc_drop,eer_increase,fake_miss_increase
musicgen,LogMelCNN,track,unseen_generator,0.0636363636363636,15,90,45,45,0.8681481481481481,0.8675908038997637,0.2666666666666667,0.2816530466079712,0.7333333333333334,0.7285067873303167,0.1333333333333333,0.4,39,6,18,27,0.9748148148148148,0.0777777777777777,0.9111111111111112,0.9109351806036616,0.1333333333333333,0.0444444444444444,0.1066666666666666,0.1888888888888889,0.3555555555555555
udio,LogMelCNN,track,unseen_generator,0.0832549634273772,7,93,45,48,0.8226851851851852,0.8287728380558291,0.2145833333333333,0.233149453997612,0.7652777777777777,0.7631944444444445,0.1777777777777777,0.2916666666666667,37,8,14,34,0.9671296296296296,0.0861111111111111,0.9125,0.9134883720930232,0.1333333333333333,0.0416666666666666,0.1444444444444445,0.1284722222222221,0.25
