model,level,roc_auc,eer,balanced_accuracy,macro_f1,real_fpr,fake_miss_rate
LogMelCNN,segment,0.952029691486894,0.1348643006263047,0.87907678032939,0.779466187040615,0.1555555555555555,0.0862908837856645
RBF-SVM,segment,0.9261578906672852,0.1474909147142967,0.8462692337431377,0.7115115115115115,0.1703703703703703,0.1370911621433542
LogMelCNN,track,0.9772379667116508,0.1041610436347278,0.9110661268556006,0.8535212361208169,0.1333333333333333,0.0445344129554655
RBF-SVM,track,0.964417453891138,0.1395411605937921,0.8695906432748538,0.7501983425631358,0.1555555555555555,0.1052631578947368
