model,segment_auc,track_auc,auc_gain,segment_eer,track_eer,eer_reduction,segment_macro_f1,track_macro_f1,macro_f1_gain
RBF-SVM,0.9261578906672852,0.964417453891138,0.03825956322385282,0.1474909147142967,0.1395411605937921,0.00794975412050461,0.7115115115115115,0.7501983425631358,0.03868683105162429
LogMelCNN,0.952029691486894,0.9772379667116508,0.02520827522475677,0.1348643006263047,0.1041610436347278,0.030703256991576888,0.779466187040615,0.8535212361208169,0.07405504908020188
