model,condition,roc_auc_drop,eer_increase,balanced_accuracy_drop,real_fpr_change,fake_miss_change
RBF-SVM,original,0.0,0.0,0.0,0.0,0.0
RBF-SVM,mp3_128,0.010841205578047575,-0.007085020242914991,0.0020017993702204917,0.0222222222222222,-0.018218623481781396
RBF-SVM,mp3_64,0.05825461088618977,0.0293072424651373,0.02019793072424647,0.04444444444444451,-0.0040485829959514
LogMelCNN,original,0.0,0.0,0.0,0.0,0.0
LogMelCNN,mp3_128,0.08182636077372896,0.07885739991003149,0.14847053531264065,0.3111111111111111,-0.014170040485829902
LogMelCNN,mp3_64,0.15159694107062516,0.1850202429149798,0.19320737741790384,0.1111111111111111,0.2753036437246964
